Headlines,Fecha
181. Relevo histórico a los banqueros españoles que salvaron la City de Londres,2025-10-03
"182. El Ibex suma un 1,6% en la semana y cierra en máximos desde 2007",2025-10-03
183. Moody's mejora el ráting de los bancos españoles,2025-10-03
184. BBVA denuncia ante la CNMV trabas de Sabadell a los accionistas para acudir a la opa,2025-10-03
"185. La Primera de Expansión sobre BBVA, BlackRock, Carlos Slim, Milei y Gaza",2025-10-03
186. BBVA alcanza ya el 10% de Sabadell con su opa,2025-10-03
"187. La prima que ofrece BBVA sobre la cotización de Sabadell alcanza el 2,91%",2025-10-03
"188. BlackRock escala hasta el 7,23% del capital de Sabadell",2025-10-03
"189. BlackRock, Vanguard y Capital Group, los dueños de la Bolsa española",2025-10-03
190. El Ibex 35 apunta a récord por encima de los 16.000 puntos,2025-10-03
191. El Ibex se toma un respiro en máximos y cierra al filo de los 15.500 puntos,2025-10-02
192. Minoritarios de Sabadell avisan de posibles acuerdos ocultos de David Martínez y BBVA,2025-10-02
193. BBVA descarta una ampliación de capital para financiar una segunda opa,2025-10-02
194. Citi descarta que BBVA haga una gran mejora del precio en una segunda opa,2025-10-02
"195. La Primera de Expansión sobre ACS, Acciona, Ferrovial, Sabadell, Aena, Bad Bunny y Nokia",2025-10-02
"196. David Martínez, accionista de Sabadell, se enfrenta a Goldman Sachs, Morgan Stanley y Evercore",2025-10-02
"197. Minoristas, Zurich y Amundi superan el 45% de Sabadell",2025-10-02
"198. La gran cumbre de la banca, el seguro y la gestión de activos",2025-10-02
"199. Torres: ""Alcanzaremos el 50% de Sabadell; la decisión de David Martínez habla por sí sola""",2025-10-01
"200. La Primera de Expansión sobre David Martínez, Sabadell, Repsol, Indra, EEUU, aranceles y guerra híbrida",2025-10-01
201. Sabadell borra su prima de riesgo y complica los ahorros de BBVA en la opa,2025-10-01
"202. La prima de la opa de BBVA repunta al 2,3% tras una sesión volátil",2025-10-01
203. BBVA: la mejora de la oferta permite a los fondos ir al canje,2025-10-01
204. Octubre activa la alerta de volatilidad en Bolsa,2025-10-01
"205. Santander, BBVA y Sabadell coronan una racha histórica del Ibex",2025-10-01
"206. Vanguard abrirá oficina en Madrid en noviembre, liderada por Pablo Bernal",2025-10-01
"207. Torres: la decisión de David Martínez ""es una clara muestra del enorme atractivo"" de la opa",2025-09-30
208. El consejo de Sabadell desmonta la oferta de BBVA,2025-09-30
"209. Así es David Martínez, el mayor accionista individual de Sabadell que irá a la opa",2025-09-30
210. El consejo de Sabadell recomienda no acudir a la opa mejorada de BBVA,2025-09-30
211. Sabadell eleva su objetivo de remuneración al accionista hasta los 1.450 millones,2025-09-30
212. El consejo de Sabadell se reúne con la previsión de un nuevo rechazo a la opa de BBVA,2025-09-30
"213. La Primera de Expansión sobre la familia March, BBVA, Gaza, Zijin Gold, Slim y Nvidia",2025-09-30
214. BBVA simplificará la estructura de Sabadell si sale adelante la opa,2025-09-30
215. Sabadell acelera la venta de créditos morosos en plena opa,2025-09-30
216. 'Start up' que triunfan con la ecuación de IA y finanzas,2025-09-30
"217. BBVA pagará el 7 de noviembre un dividendo de 0,32 euros por acción",2025-09-29
218. El Ibex choca con sus máximos y cierra con suaves recortes,2025-09-29
"219. BBVA prestará 13,9 millones al Ayuntamiento de Sabadell",2025-09-29
220. ¿Cuánto capital de Sabadell está en manos de accionistas minoritarios?,2025-09-29
"221. BBVA enfila la tercera semana de 'road show"" para amarrar apoyos en la opa",2025-09-29
222. BBVA pausa objetivos comerciales para atender la opa,2025-09-29
223. Valores españoles disparados un 100% en el año,2025-09-28
224. El consejo de Banco Sabadell prepara el 'no' a la opa mejorada de BBVA,2025-09-28
225. BBVA-Sabadell: todas las claves para los accionistas ante la opa,2025-09-27
226. BBVA libera 700 millones de euros con la subida de la opa sobre Sabadell,2025-09-27
"227. Torres: ""Una segunda opa de BBVA por Sabadell no está encima de la mesa""",2025-09-26
228. Sabadell aumenta a 400 euros el premio para captar nóminas,2025-09-26
"229. La Primera de Expansión sobre Aena, BBVA, más aranceles, TikTok, Nintendo y el iPhone",2025-09-26
230. BBVA ve posible controlar Sabadell si obtiene entre el 30% y el 50% en la opa,2025-09-26
"231. BBVA, Sabadell y el 'dilema del prisionero'",2025-09-26
"232. Josep Oliu: ""La CNMV tendría que explicar cómo se calculará el precio de la segunda opa""",2025-09-26
233. La bancaseguros de Zurich y Sabadell caduca en 8 años,2025-09-26
234. La pugna entre BBVA y Sabadell acabará en 2026 si hay segunda opa,2025-09-26
235. La prima que ofrece BBVA al accionista de Sabadell desciende al 2%,2025-09-26
236. BBVA avisa de que revisará el dividendo de Sabadell,2025-09-26
"237. BBVA reitera que ""no tiene intención"" de renunciar a la condición de aceptación mínima de la opa",2025-09-25
238. La CNMV autoriza la mejora de la opa de BBVA sobre Sabadell,2025-09-25
"239. La Primera de Expansión sobre BBVA, Turkish Airlines, Chery, Circle y el rating de España",2025-09-25
240. Santander y BBVA dan una dosis extra de potencial al Ibex,2025-09-25
241. BBVA-Sabadell: las 10 claves de una segunda opa,2025-09-25
242. Los accionistas de Sabadell tendrán el 5% de BBVA si la opa alcanza el 30%,2025-09-25
243. BBVA podrá comprar más acciones de Sabadell si fracasa la segunda opa,2025-09-25
"244. La prima de la nueva oferta del BBVA sube al 2,9%",2025-09-25
"245. Juan Roig, Amancio Ortega y Martin Baron, mis grandes referentes",2025-09-24
"246. El Ibex, al filo de los 15.200 puntos apoyado en Indra y los bancos",2025-09-24
247. BBVA admite que una segunda opa por Sabadell podría comprometer su plan de reparto de capital,2025-09-24
"248. La Primera de Expansión sobre Sabadell, Indra, Santander, Escribano, Milei, Amazon y el apagón",2025-09-24
249. Sabadell traslada la batalla con BBVA a una segunda opa,2025-09-24
250. Las ataduras que tendría para BBVA una segunda opa,2025-09-24
251. BBVA gana potencia de dividendo tras mejorar la opa por Sabadell,2025-09-24
252. BlackRock espera más subidas del Ibex pese al rally,2025-09-24
253. El Ibex recupera los 15.100 puntos a la espera la intervención de Powell,2025-09-23
254. Los fondos piden una mejora adicional de la oferta de BBVA por Sabadell de entre el 15% y el 20%,2025-09-23
"255. BBVA, ante el riesgo de emprender una lucha por el control del consejo de Sabadell",2025-09-23
256. Citi otorga un precio récord a Santander al elevar un 34% su valoración,2025-09-23
"257. La Primera de Expansión sobre BBVA, Sabadell, Nvidia, Bill Gates,, Heineken y Jimmy Kimmel",2025-09-23
258. La CNMV pone en pausa el período de aceptación de la opa de BBVA sobre Sabadell,2025-09-23
"259. José Ramón Iturriaga (Abante): ""La nueva oferta de BBVA no va a ser suficiente""",2025-09-23
260. Fase final de la OPA: la operación tendrá alivio fiscal si BBVA logra controlar Sabadell,2025-09-23
261. El Supremo admite a trámite el recurso de BBVA contra el Gobierno,2025-09-22
"262. Con el nuevo precio, ¿hay que acudir a la opa de BBVA sobre Sabadell? con José Ramón Iturriaga, de Abante",2025-09-22
"263. Los minoritarios de Banco Sabadell: la nueva oferta de BBVA es ""peor"" que la inicial",2025-09-22
264. Sánchez se reunirá con Bill Gates y el Rey asistirá a la cena de Trump,2025-09-22
"265. Sabadell pierde un 4% en Bolsa tras la mejora de la oferta de BBVA, que baja cerca del 3%",2025-09-22
266. Escrivá plantea acortar los plazos de las OPA tras los 16 meses de pugna del BBVA por Sabadell,2025-09-22
267. La opa de BBVA sobre Sabadell vuelve a tener prima positiva de más del 3%,2025-09-22
